parameter,base_tvar99,tvar99_low,tvar99_high,delta_low,delta_high,swing
Lambda (frequency),19849.22679494021,27022.988765542214,27677.732660804897,7173.761970602005,7828.5058658646885,7828.5058658646885
Threshold multiplier,19849.22679494021,18183.837737972382,26936.532660085253,-1665.389056967826,7087.305865145045,7087.305865145045
Pareto alpha,19849.22679494021,26623.727186549273,18880.29056984555,6774.5003916090645,-968.9362250946579,6774.5003916090645
Dependency amplification,19849.22679494021,24564.551340904836,21363.45220543343,4715.324545964628,1514.2254104932217,4715.324545964628
