parameter,base_tvar99,tvar99_low,tvar99_high,delta_low,delta_high,swing
Lambda (frequency),14226.601627497324,12164.870476760443,50555.50507511126,-2061.7311507368813,36328.903447613935,36328.903447613935
Threshold multiplier,14226.601627497324,16424.976315306805,25499.078120585895,2198.3746878094807,11272.47649308857,11272.47649308857
Dependency amplification,14226.601627497324,21651.791384280998,16375.242948527897,7425.189756783673,2148.6413210305727,7425.189756783673
Pareto alpha,14226.601627497324,18676.800567945636,13623.333619314015,4450.198940448312,-603.2680081833096,4450.198940448312
